Magnitude,Location,Longitude,Latitude
0.27,"10 km NW of The Geysers, CA",-122.85,38.83
2.18,"23 km NW of Grapevine, CA",-119.1206665,35.0779991
1.95,"17 km SSW of Searles Valley, CA",-117.447,35.6145
1.5,"29 km S of Mina, Nevada",-118.0598,38.127
1.52,"2 km NW of The Geysers, CA",-122.78,38.79
1.41,"4 km NNW of Minco, Oklahoma",-97.96516667,35.35033333
5.4,"7 km WSW of Miyazaki, Japan",131.341,31.8881
1.23,"3 km E of Villa Park, CA",-117.7781667,33.816
1.29,"11 km SW of Salton City, CA",-116.0291667,33.2223333
0.5,"21 km N of Indian Springs, Nevada",-115.6637,36.7632
1.31,"12 km SW of Salton City, CA",-116.044,33.223
0.5,"20 km N of Indian Springs, Nevada",-115.639,36.7529
0.94,"3 km S of Home Gardens, CA",-117.5253333,33.8521667
1.54,"25 km SW of Lamont, CA",-119.1128333,35.1096667
1.05,"20 km NNW of Grapevine, CA",-119.0503333,35.0956667
1.04,"24 km NW of Grapevine, CA",-119.1325,35.0836667
1.52,"4 km NNW of Minco, Oklahoma",-97.95583333,35.348
1.17,"30 km N of Yucca Valley, CA",-116.4613333,34.3791667
2.3,"8 km NW of Harding-Birch Lakes, Alaska",-146.7215,64.4299
2.28,"18 km NW of Grapevine, CA",-119.0586667,35.0725
1.05,"1 km  of The Geysers, CA",-122.76,38.79
1.5,"22 km SW of Lamont, CA",-119.087,35.128
1.29,"3 km WSW of Anderson Springs, CA",-122.72,38.76
1.53,"23 km NW of Grapevine, CA",-119.0976667,35.0973333
1.17,"45 km NE of Holtville, CA",-114.9946667,33.0476667
2.11,"5 km SSW of Volcano, Hawaii",-155.246002197266,19.3938331604004
2.01999998,"4 km SSW of Pāhala, Hawaii",-155.494659423828,19.1693325042725
1.33,"13 km SE of Tehachapi, CA",-118.344,35.0561667
1.9,"12 km NNW of Ninilchik, Alaska",-151.7198,60.163
1.8,"4 km E of Villa Park, CA",-117.7651667,33.821
2.38,"21 km SW of Lamont, CA",-119.0898333,35.1313333
1.6,"24 km E of Maricopa, CA",-119.1368333,35.1013333
2.93,"24 km SW of Lamont, CA",-119.097,35.1073333
1.75,"21 km NW of Grapevine, CA",-119.0823333,35.0801667
1.2,"17 km SSW of Searles Valley, CA",-117.4478333,35.6156667
1.86000001,"1 km WSW of Pāhala, Hawaii",-155.493667602539,19.1978340148926
2.4,"162 km SE of Perryville, Alaska",-157.2243,54.9393
0.77,"5 km NNW of The Geysers, CA",-122.8,38.81
1.4,"54 km N of Chase, Alaska",-150.0938,62.9376
1.6,"15 km NW of Four Mile Road, Alaska",-149.3141,64.7136
1.1,"58 km ESE of Denali National Park, Alaska",-150.6951,63.2854
0.7000000000000001,"22 km ENE of Ashford, Washington",-121.7655,46.853
1.44,"23 km SW of Lamont, CA",-119.0868333,35.1125
1.22,"7 km NW of The Geysers, CA",-122.82,38.82
1.56,"22 km SW of Lamont, CA",-119.0765,35.1106667
4.3,"249 km W of Tual, Indonesia",130.5363,-6.0329
2.2,"47 km ESE of Whittier, Alaska",-147.9094,60.5869
2.06,"26 km ENE of Maricopa, CA",-119.127,35.1071667
2.03,"91 km SSW of Alberto Oviedo Mota, B.C., MX",-115.6133333,31.4991667
1.39,"22 km NW of Grapevine, CA",-119.0971667,35.0893333
2.7,"132 km SW of Nikolski, Alaska",-170.0703,52.0044
1.5,"32 km ESE of Skwentna, Alaska",-150.88,61.8295
0.86,"10 km NW of The Geysers, CA",-122.86,38.83
0.9,"8 km NNW of The Geysers, CA",-122.82,38.83
1.84000003,"1 km SW of Pāhala, Hawaii",-155.491165161133,19.193000793457
0.69,"7 km ESE of Ridgecrest, CA",-117.599,35.6051667
2.52,"1 km SW of Pāhala, Hawaii",-155.49299621582,19.1924991607666
1.5,"41 km ESE of Pedro Bay, Alaska",-153.4535,59.6076
1.75,"21 km NW of Grapevine, CA",-119.0895,35.08
0.73,"29 km WSW of Ludlow, CA",-116.4593353,34.6451683
1.2,"21 km NW of Grapevine, CA",-119.0918333,35.0743333
1.57,"6 km NNE of Beaumont, CA",-116.9565,33.9851667
1.06,"13 km E of Cloverdale, CA",-122.88,38.84
2.4,"51 km ENE of Chenega, Alaska",-147.2345,60.3115
3.54,"3 km SSW of Pāhala, Hawaii",-155.495666666667,19.1746666666667
1.26,"8 km WNW of San Jacinto, CA",-117.0345,33.8176667
3.5,"74 km SW of Atka, Alaska",-174.864,51.6689
4.4,Fiji region,-179.1127,-21.1248
1.5,"8 km E of Fox, Alaska",-147.4318,64.9727
1.47,"25 km SW of Lamont, CA",-119.1216667,35.113
1.17,"20 km NW of Grapevine, CA",-119.064,35.0903333
1.65,"25 km ENE of Maricopa, CA",-119.132,35.1088333
1.3,"51 km N of Larsen Bay, Alaska",-153.9201,57.9993
4.9,South Sandwich Islands region,-26.1032,-59.4945
0.66,"13 km SW of Searles Valley, CA",-117.4946667,35.681
2.3,"102 km W of Akhiok, Alaska",-155.8444,56.8619
1.1,"4 km NNW of Minco, Oklahoma",-97.96766667,35.35116667
1.84,"24 km ENE of Maricopa, CA",-119.1415,35.104
1.44,"10 km SW of Morongo Valley, CA",-116.6495,33.9785
1.4,"16 km NNW of Four Mile Road, Alaska",-149.1947,64.7485
1.27,"0 km NW of The Geysers, CA",-122.76,38.78
1.27,"4 km SSW of Union City, Oklahoma",-97.9605,35.35483333
1.12,"2 km NE of The Geysers, CA",-122.75,38.79
1.82,"24 km E of Maricopa, CA",-119.1446667,35.0963333
2.1,"41 km NNE of Chickaloon, Alaska",-148.2969,62.1583
1.1,"31 km SE of Glacier View, Alaska",-147.212,61.6224
1.77999997,"6 km S of Volcano, Hawaii",-155.245330810547,19.386833190918
1.33,"6 km NNW of The Geysers, CA",-122.8,38.82
2.12,"6 km NNW of The Geysers, CA",-122.8,38.82
2.92,"5 km SSW of Volcano, Hawaii",-155.247,19.3933333333333
5.2,"46 km W of Otobe, Japan",139.584,42.0107
1.55,"22 km NW of Grapevine, CA",-119.0738333,35.1046667
2.0,"21 km NW of Grapevine, CA",-119.0835,35.0863333
1.4,"24 km E of Maricopa, CA",-119.1368333,35.0903333
4.4,west of Macquarie Island,146.8662,-56.2565
1.15,"20 km NW of Grapevine, CA",-119.0721667,35.083
2.7,"6 km S of Volcano, Hawaii",-155.2425,19.3861666666667
2.77,"8 km S of Fern Forest, Hawaii",-155.143325805664,19.3859996795654
0.45,"3 km E of Entiat, Washington",-120.15766666666667,47.68116666666667
1.99,"7 km SSW of Volcano, Hawaii",-155.253005981445,19.3784999847412
2.6,"24 km E of Pāhala, Hawaii",-155.249664306641,19.1998329162598
1.44,"3 km ESE of Yucaipa, CA",-117.0141667,34.0195
1.5,"60 km NNE of Petersville, Alaska",-150.2749,62.9881
0.78,"7 km NNW of The Geysers, CA",-122.81,38.83
1.37,"11 km N of Mojave, CA",-118.1791667,35.1493333
1.94,"24 km NW of Grapevine, CA",-119.115,35.0951667
1.8,"31 km N of Petersville, Alaska",-150.6649,62.7747
1.7,"5 km ESE of Califon, New Jersey",-74.7754,40.7076
2.65,"22 km SW of Lamont, CA",-119.0788333,35.113
2.2,"56 km NNW of Petersville, Alaska",-151.0382,62.9869
1.4,"28 km ESE of Campo, CA",-116.2036667,32.499
1.35,"22 km NW of Grapevine, CA",-119.0906667,35.0895
-0.01,"151 km W of Adak, Alaska",-178.8185,51.7663333333333
2.11,"24 km NW of Grapevine, CA",-119.1176667,35.1008333
1.11,"23 km SW of Lamont, CA",-119.0913333,35.1126667
2.14,"22 km NW of Grapevine, CA",-119.0953333,35.0926667
2.62,"24 km NW of Grapevine, CA",-119.1203333,35.0938333
1.2,"21 km NW of Grapevine, CA",-119.1005,35.076
1.75,"2 km NW of Diablo, CA",-121.97,37.85
1.7,"87 km NW of Skwentna, Alaska",-152.4476,62.6015
1.6,"34 km NNW of Valdez, Alaska",-146.6434,61.4016
1.39,"12 km NE of Alum Rock, CA",-121.77,37.46
1.87,"25 km NW of Grapevine, CA",-119.1248333,35.1058333
1.8,"11 km S of Nanwalek, Alaska",-151.9486,59.2585
4.6,"20 km ESE of Nichinan, Japan",131.5807,31.5624
2.29,"23 km NW of Grapevine, CA",-119.0951667,35.1001667
1.72,"9 km SE of Volcano, Hawaii",-155.182006835938,19.3743324279785
4.8,"31 km SE of Miyazaki, Japan",131.6714,31.7336
1.64,"24 km E of Maricopa, CA",-119.1433333,35.0766667
2.6,"67 km NE of Ruby, Alaska",-154.3478,65.111
3.9,"71 km SSW of La Tirana, Chile",-70.5018,-20.8196
3.0,"105 km SSE of Lowell Point, Alaska",-148.7976,59.1804
0.66,"9 km SW of Idyllwild, CA",-116.7776667,33.6771667
1.8,"15 km SE of Stockdale, Texas",-97.862,29.124
1.95,"24 km E of Maricopa, CA",-119.1351667,35.0966667
2.18,"13 km NNE of Big Bend, CA",-121.88,41.13
7.1,"20 km NE of Nichinan, Japan",131.5271,31.7191
1.87,"7 km NNW of Malibu, CA",-118.8485,34.0606667
1.58,"24 km SW of Lamont, CA",-119.1011667,35.112
1.92999995,"5 km SSW of Volcano, Hawaii",-155.254669189453,19.3993339538574
0.76,"10 km NW of The Geysers, CA",-122.85,38.83
1.54,"24 km SW of Lamont, CA",-119.1071667,35.1105
0.98,"4 km SSW of Union City, Oklahoma",-97.95833333,35.355
1.36,"25 km SW of Lamont, CA",-119.1241667,35.1143333
4.2,"87 km E of Kyzyl-Eshme, Kyrgyzstan",73.2883,39.5295
1.8,"16 km S of Funny River, Alaska",-150.8002,60.3545
1.19,"23 km SW of Lamont, CA",-119.0951667,35.116
0.61,"8 km NNE of Borrego Springs, CA",-116.3346667,33.3193333
2.5,"25 km SW of Susitna North, Alaska",-150.2457,62.0248
1.6,"16 km E of Fernley, Nevada",-119.0661,39.5868
1.32,"22 km NW of Grapevine, CA",-119.0761667,35.0976667
1.5,"16 km E of Fernley, Nevada",-119.0646,39.5816
1.34,"24 km NW of Grapevine, CA",-119.1055,35.1033333
1.36,"21 km NW of Grapevine, CA",-119.0995,35.0703333
-0.37,"15 km NE of Milford, Utah",-112.899833333333,38.5008333333333
1.59,"24 km ENE of Maricopa, CA",-119.14,35.1043333
1.87,"21 km NW of Grapevine, CA",-119.0766667,35.0935
1.26,"22 km SW of Lamont, CA",-119.084,35.1146667
